URL_ID,TITLE,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,AI and ML-Based YouTube Analytics and Content Creation Tool for Optimizing Subscriber Engagement and Content Strategy - Blackcoffer Insights,0,0,0.0,0.0,24.75,0.1919191919191919,9.976767676767677,24.75,19,99,1.696969696969697,0,5.666666666666667
Netclan20241018,Enhancing Front-End Features and Functionality for Improved User Experience and Dashboard Accuracy in Partner Hospital Application - Blackcoffer Insights,3,3,0.0,0.01083032489019797,22.16,0.11191335740072202,8.90876534296029,22.16,62,554,1.4494584837545126,5,4.734657039711191
Netclan20241019,ROAS Dashboard for Campaign-Wise Google Ads Budget Tracking Using Google Ads AP - Blackcoffer Insights,2,2,0.0,0.028368794125044013,23.5,0.15602836879432624,9.462411347517731,23.5,22,141,1.574468085106383,0,5.475177304964539
Netclan20241020,Efficient Processing and Analysis of Financial Data from PDF Files: Addressing Formatting Inconsistencies and Ensuring Data Integrity for a Toyota Dealership Management Firm - Blackcoffer Insights,10,10,0.0,0.04474272920639211,17.88,0.2930648769574944,7.269225950782998,17.88,131,447,1.9015659955257271,3,6.485458612975392
Netclan20241021,Development of EA Robot for Automated Trading - Blackcoffer Insights,0,0,0.0,0.0,18.571428571428573,0.13846153846153847,7.483956043956045,18.571428571428573,18,130,1.6153846153846154,0,5.3538461538461535
Netclan20241022,AI and ML-Based YouTube Analytics and Content Creation Tool for Optimizing Subscriber Engagement and Content Strategy - Blackcoffer Insights,0,0,0.0,0.0,24.75,0.1919191919191919,9.976767676767677,24.75,19,99,1.696969696969697,0,5.666666666666667
Netclan20241023,Enhancing Front-End Features and Functionality for Improved User Experience and Dashboard Accuracy in Partner Hospital Application - Blackcoffer Insights,3,3,0.0,0.01083032489019797,22.16,0.11191335740072202,8.90876534296029,22.16,62,554,1.4494584837545126,5,4.734657039711191
Netclan20241024,ROAS Dashboard for Campaign-Wise Google Ads Budget Tracking Using Google Ads AP - Blackcoffer Insights,2,2,0.0,0.028368794125044013,23.5,0.15602836879432624,9.462411347517731,23.5,22,141,1.574468085106383,0,5.475177304964539
Netclan20241025,Efficient Processing and Analysis of Financial Data from PDF Files: Addressing Formatting Inconsistencies and Ensuring Data Integrity for a Toyota Dealership Management Firm - Blackcoffer Insights,10,10,0.0,0.04474272920639211,17.88,0.2930648769574944,7.269225950782998,17.88,131,447,1.9015659955257271,3,6.485458612975392
Netclan20241026,Transforming and Managing a Large-Scale SQL Pedigree Database to Neo4j Graph DB - Blackcoffer Insights,21,21,0.0,0.027686222789923384,15.479591836734693,0.26697429136453527,6.2986264512396914,15.479591836734693,405,1517,1.8879367172050099,0,6.224785761371127
